st,county,STATE,composite,fipstxt,FIPS,count3
WI,Walworth,Wisconsin,wi_walworth,55127,55127,70
FL,Duval,Florida,fl_duval,12031,12031,69
IL,McLean,Illinois,il_mclean,17113,17113,69
MS,Marshall,Mississippi,ms_marshall,28093,28093,69
MS,Tallahatchie,Mississippi,ms_tallahatchie,28135,28135,69
OH,Montgomery,Ohio,oh_montgomery,39113,39113,69
IN,Jasper,Indiana,in_jasper,18073,18073,68
MS,Lincoln,Mississippi,ms_lincoln,28085,28085,68
WI,Brown,Wisconsin,wi_brown,55009,55009,68
KY,Fayette,Kentucky,ky_fayette,21067,21067,66
LA,Caddo,Louisiana,la_caddo,22017,22017,66
MS,Rankin,Mississippi,ms_rankin,28121,28121,66
GA,Fulton,Georgia,ga_fulton,13121,13121,65
LA,East Baton Rouge,Louisiana,la_east baton rouge,22033,22033,65
NV,Clark,Nevada,nv_clark,32003,32003,64
TN,Knox,Tennessee,tn_knox,47093,47093,64
TX,Bexar,Texas,tx_bexar,48029,48029,64
AR,Mississippi,Arkansas,ar_mississippi,5093,5093,63
IL,Rock Island,Illinois,il_rock island,17161,17161,63
LA,Jefferson,Louisiana,la_jefferson,22051,22051,63
MI,Kalamazoo,Michigan,mi_kalamazoo,26077,26077,63
TX,Tarrant,Texas,tx_tarrant,48439,48439,63
MI,Wayne,Michigan,mi_wayne,26163,26163,62
TN,Hamilton,Tennessee,tn_hamilton,47065,47065,62
IN,Wabash,Indiana,in_wabash,18169,18169,61
TX,Bell,Texas,tx_bell,48027,48027,61
MS,Alcorn,Mississippi,ms_alcorn,28003,28003,60
MS,Holmes,Mississippi,ms_holmes,28051,28051,60
FL,Broward,Florida,fl_broward,12011,12011,59
FL,Hillsborough,Florida,fl_hillsborough,12057,12057,59
CA,San Diego,California,ca_san diego,6073,6073,58
OK,Oklahoma,Oklahoma,ok_oklahoma,40109,40109,58
IL,Williamson,Illinois,il_williamson,17199,17199,57
AR,Crittenden,Arkansas,ar_crittenden,5035,5035,55
IL,La Salle,Illinois,il_la salle,17099,17099,55
IN,Vanderburgh,Indiana,in_vanderburgh,18163,18163,55
MS,Monroe,Mississippi,ms_monroe,28095,28095,55
MS,Tunica,Mississippi,ms_tunica,28143,28143,55
MS,Harrison,Mississippi,ms_harrison,28047,28047,54
CA,San Bernardino,California,ca_san bernardino,6071,6071,53
IA,Polk,Iowa,ia_polk,19153,19153,53
IN,Delaware,Indiana,in_delaware,18035,18035,53
GA,Whitfield,Georgia,ga_whitfield,13313,13313,52
IN,DeKalb,Indiana,in_dekalb,18033,18033,51
MO,St. Louis,Missouri,mo_st. louis,29189,29189,51
MS,Adams,Mississippi,ms_adams,28001,28001,50
AZ,Pima,Arizona,az_pima,4019,4019,49
IL,St. Clair,Illinois,il_st. clair,17163,17163,49
IN,Hamilton,Indiana,in_hamilton,18057,18057,49
NC,Cumberland,North Carolina,nc_cumberland,37051,37051,49
AL,Mobile,Alabama,al_mobile,1097,1097,48
GA,Muscogee,Georgia,ga_muscogee,13215,13215,48
IN,Kosciusko,Indiana,in_kosciusko,18085,18085,48
AL,Tuscaloosa,Alabama,al_tuscaloosa,1125,1125,47
GA,Gwinnett,Georgia,ga_gwinnett,13135,13135,46
KY,Christian,Kentucky,ky_christian,21047,21047,44
MI,Kent,Michigan,mi_kent,26081,26081,44
MS,Winston,Mississippi,ms_winston,28159,28159,44
OK,Tulsa,Oklahoma,ok_tulsa,40143,40143,44
TN,Madison,Tennessee,tn_madison,47113,47113,44
AL,Etowah,Alabama,al_etowah,1055,1055,43
CO,El Paso,Colorado,co_el paso,8041,8041,43
FL,Palm Beach,Florida,fl_palm beach,12099,12099,43
IN,Grant,Indiana,in_grant,18053,18053,43
KY,Hardin,Kentucky,ky_hardin,21093,21093,43
AR,St. Francis,Arkansas,ar_st. francis,5123,5123,42
FL,Orange,Florida,fl_orange,12095,12095,42
IN,Madison,Indiana,in_madison,18095,18095,42
MS,Warren,Mississippi,ms_warren,28149,28149,42
IN,Randolph,Indiana,in_randolph,18135,18135,41
VA,Norfolk,Virginia,va_norfolk,51710,51710,41
AL,Morgan,Alabama,al_morgan,1103,1103,40
CA,Orange,California,ca_orange,6059,6059,40
MS,Oktibbeha,Mississippi,ms_oktibbeha,28105,28105,40
NC,Onslow,North Carolina,nc_onslow,37133,37133,40
AL,Marshall,Alabama,al_marshall,1095,1095,39
IL,DeKalb,Illinois,il_dekalb,17037,17037,39
IL,Madison,Illinois,il_madison,17119,17119,39
KY,Muhlenberg,Kentucky,ky_muhlenberg,21177,21177,39
MI,Oakland,Michigan,mi_oakland,26125,26125,39
OH,Ashland,Ohio,oh_ashland,39005,39005,39
OH,Butler,Ohio,oh_butler,39017,39017,39
KY,Daviess,Kentucky,ky_daviess,21059,21059,38
MS,Forrest,Mississippi,ms_forrest,28035,28035,38
OH,Cuyahoga,Ohio,oh_cuyahoga,39035,39035,38
IL,Tazewell,Illinois,il_tazewell,17179,17179,37
IN,Shelby,Indiana,in_shelby,18145,18145,37
MI,Ingham,Michigan,mi_ingham,26065,26065,37
WI,La Crosse,Wisconsin,wi_la crosse,55063,55063,37
GA,Liberty,Georgia,ga_liberty,13179,13179,36
IL,Knox,Illinois,il_knox,17095,17095,36
MS,Montgomery,Mississippi,ms_montgomery,28097,28097,36
OH,Mahoning,Ohio,oh_mahoning,39099,39099,36
WA,King,Washington,wa_king,53033,53033,36
AR,Craighead,Arkansas,ar_craighead,5031,5031,35
IN,Harrison,Indiana,in_harrison,18061,18061,35
LA,Ouachita,Louisiana,la_ouachita,22073,22073,35
MI,Genesee,Michigan,mi_genesee,26049,26049,35
MS,Copiah,Mississippi,ms_copiah,28029,28029,35
WI,Washington,Wisconsin,wi_washington,55131,55131,35
OH,Lorain,Ohio,oh_lorain,39093,39093,34
OH,Miami,Ohio,oh_miami,39109,39109,34
TX,El Paso,Texas,tx_el paso,48141,48141,34
VA,Hampton,Virginia,va_hampton,51650,51650,34
WI,Outagamie,Wisconsin,wi_outagamie,55087,55087,34
AL,Calhoun,Alabama,al_calhoun,1015,1015,33
IL,Marion,Illinois,il_marion,17121,17121,33
IL,Whiteside,Illinois,il_whiteside,17195,17195,33
IN,Monroe,Indiana,in_monroe,18105,18105,33
MS,Pike,Mississippi,ms_pike,28113,28113,33
MS,Scott,Mississippi,ms_scott,28123,28123,33
KY,Perry,Kentucky,ky_perry,21193,21193,32
MI,Macomb,Michigan,mi_macomb,26099,26099,32
WI,Lincoln,Wisconsin,wi_lincoln,55069,55069,32
GA,Bibb,Georgia,ga_bibb,13021,13021,31
IA,Black Hawk,Iowa,ia_black hawk,19013,19013,31
IA,Johnson,Iowa,ia_johnson,19103,19103,31
IL,Jefferson,Illinois,il_jefferson,17081,17081,31
IL,Saline,Illinois,il_saline,17165,17165,31
IN,Clark,Indiana,in_clark,18019,18019,31
KY,Rowan,Kentucky,ky_rowan,21205,21205,31
LA,Vernon,Louisiana,la_vernon,22115,22115,31
MO,Jackson,Missouri,mo_jackson,29095,29095,31
MS,Pontotoc,Mississippi,ms_pontotoc,28115,28115,31
IA,Dubuque,Iowa,ia_dubuque,19061,19061,30
MS,Itawamba,Mississippi,ms_itawamba,28057,28057,30
OH,Gallia,Ohio,oh_gallia,39053,39053,30
CO,Denver,Colorado,co_denver,8031,8031,29
FL,Pinellas,Florida,fl_pinellas,12103,12103,29
KS,Johnson,Kansas,ks_johnson,20091,20091,29
OH,Richland,Ohio,oh_richland,39139,39139,29
WI,Fond du Lac,Wisconsin,wi_fond du lac,55039,55039,29
WI,Sauk,Wisconsin,wi_sauk,55111,55111,29
IA,Scott,Iowa,ia_scott,19163,19163,28
IL,Perry,Illinois,il_perry,17145,17145,28
KY,Whitley,Kentucky,ky_whitley,21235,21235,28
MS,Tate,Mississippi,ms_tate,28137,28137,28
MS,Union,Mississippi,ms_union,28145,28145,28
WV,Kanawha,West Virginia,wv_kanawha,54039,54039,28
CA,Riverside,California,ca_riverside,6065,6065,27
GA,Richmond,Georgia,ga_richmond,13245,13245,27
KS,Shawnee,Kansas,ks_shawnee,20177,20177,27
MS,Jefferson Davis,Mississippi,ms_jefferson davis,28065,28065,27
NM,Bernalillo,New Mexico,nm_bernalillo,35001,35001,27
CA,Alameda,California,ca_alameda,6001,6001,26
IN,Wayne,Indiana,in_wayne,18177,18177,26
KY,Calloway,Kentucky,ky_calloway,21035,21035,26
MS,Prentiss,Mississippi,ms_prentiss,28117,28117,26
OH,Lucas,Ohio,oh_lucas,39095,39095,26
TN,Henry,Tennessee,tn_henry,47079,47079,26
WI,Dodge,Wisconsin,wi_dodge,55027,55027,26
WI,Eau Claire,Wisconsin,wi_eau claire,55035,55035,26
AR,Washington,Arkansas,ar_washington,5143,5143,25
IN,Bartholomew,Indiana,in_bartholomew,18005,18005,25
IN,Greene,Indiana,in_greene,18055,18055,25
IN,Scott,Indiana,in_scott,18143,18143,25
KS,Sedgwick,Kansas,ks_sedgwick,20173,20173,25
KY,Boyd,Kentucky,ky_boyd,21019,21019,25
OH,Greene,Ohio,oh_greene,39057,39057,25
WI,Marinette,Wisconsin,wi_marinette,55075,55075,25
FL,Bay,Florida,fl_bay,12005,12005,24
IL,Franklin,Illinois,il_franklin,17055,17055,24
IN,Henry,Indiana,in_henry,18065,18065,24
IN,Whitley,Indiana,in_whitley,18183,18183,24
KY,Franklin,Kentucky,ky_franklin,21073,21073,24
MS,Choctaw,Mississippi,ms_choctaw,28019,28019,24
MS,Wayne,Mississippi,ms_wayne,28153,28153,24
UT,Salt Lake,Utah,ut_salt lake,49035,49035,24
WA,Pierce,Washington,wa_pierce,53053,53053,24
AL,Colbert,Alabama,al_colbert,1033,1033,23
GA,Murray,Georgia,ga_murray,13213,13213,23
KY,Madison,Kentucky,ky_madison,21151,21151,23
MI,Calhoun,Michigan,mi_calhoun,26025,26025,23
OH,Clermont,Ohio,oh_clermont,39025,39025,23
OH,Lake,Ohio,oh_lake,39085,39085,23
PA,Allegheny,Pennsylvania,pa_allegheny,42003,42003,23
TX,Travis,Texas,tx_travis,48453,48453,23
WI,Wood,Wisconsin,wi_wood,55141,55141,23
AZ,Yavapai,Arizona,az_yavapai,4025,4025,22
CA,Santa Clara,California,ca_santa clara,6085,6085,22
FL,Polk,Florida,fl_polk,12105,12105,22
GA,Walker,Georgia,ga_walker,13295,13295,22
IA,Des Moines,Iowa,ia_des moines,19057,19057,22
IN,Knox,Indiana,in_knox,18083,18083,22
IN,Noble,Indiana,in_noble,18113,18113,22
KY,Bell,Kentucky,ky_bell,21013,21013,22
LA,Tangipahoa,Louisiana,la_tangipahoa,22105,22105,22
MO,Greene,Missouri,mo_greene,29077,29077,22
TN,Montgomery,Tennessee,tn_montgomery,47125,47125,22
WV,Cabell,West Virginia,wv_cabell,54011,54011,22
AR,Arkansas,Arkansas,ar_arkansas,5001,5001,21
FL,Escambia,Florida,fl_escambia,12033,12033,21
FL,Lee,Florida,fl_lee,12071,12071,21
IL,Coles,Illinois,il_coles,17029,17029,21
IL,Henry,Illinois,il_henry,17073,17073,21
IL,Johnson,Illinois,il_johnson,17087,17087,21
IN,Fountain,Indiana,in_fountain,18045,18045,21
MO,Scott,Missouri,mo_scott,29201,29201,21
MS,Quitman,Mississippi,ms_quitman,28119,28119,21
NC,Mecklenburg,North Carolina,nc_mecklenburg,37119,37119,21
OH,Fayette,Ohio,oh_fayette,39047,39047,21
OK,Comanche,Oklahoma,ok_comanche,40031,40031,21
WI,Sheboygan,Wisconsin,wi_sheboygan,55117,55117,21
WI,Winnebago,Wisconsin,wi_winnebago,55139,55139,21
WV,Harrison,West Virginia,wv_harrison,54033,54033,21
AL,Dallas,Alabama,al_dallas,1047,1047,20
AR,Garland,Arkansas,ar_garland,5051,5051,20
AZ,Cochise,Arizona,az_cochise,4003,4003,20
CO,Jefferson,Colorado,co_jefferson,8059,8059,20
IL,Kendall,Illinois,il_kendall,17093,17093,20
IN,Montgomery,Indiana,in_montgomery,18107,18107,20
IN,Steuben,Indiana,in_steuben,18151,18151,20
KY,Pulaski,Kentucky,ky_pulaski,21199,21199,20
LA,Rapides,Louisiana,la_rapides,22079,22079,20
MI,Muskegon,Michigan,mi_muskegon,26121,26121,20
NE,Douglas,Nebraska,ne_douglas,31055,31055,20
OH,Shelby,Ohio,oh_shelby,39149,39149,20
OH,Summit,Ohio,oh_summit,39153,39153,20
OH,Warren,Ohio,oh_warren,39165,39165,20
WA,Spokane,Washington,wa_spokane,53063,53063,20
AK,Anchorage,Alaska,ak_anchorage,2020,2020,19
GA,Oconee,Georgia,ga_oconee,13219,13219,19
IL,Stephenson,Illinois,il_stephenson,17177,17177,19
KS,Riley,Kansas,ks_riley,20161,20161,19
KY,Boone,Kentucky,ky_boone,21015,21015,19
MI,Van Buren,Michigan,mi_van buren,26159,26159,19
MN,Dakota,Minnesota,mn_dakota,27037,27037,19
MS,Lafayette,Mississippi,ms_lafayette,28071,28071,19
MS,Marion,Mississippi,ms_marion,28091,28091,19
VA,Newport News,Virginia,va_newport news,51700,51700,19
CO,Arapahoe,Colorado,co_arapahoe,8005,8005,18
CT,Hartford,Connecticut,ct_hartford,9003,9003,18
KY,Fulton,Kentucky,ky_fulton,21075,21075,18
LA,St. Tammany,Louisiana,la_st. tammany,22103,22103,18
MI,Saginaw,Michigan,mi_saginaw,26145,26145,18
MN,Anoka,Minnesota,mn_anoka,27003,27003,18
MN,Ramsey,Minnesota,mn_ramsey,27123,27123,18
OH,Clark,Ohio,oh_clark,39023,39023,18
OH,Wayne,Ohio,oh_wayne,39169,39169,18
SC,Charleston,South Carolina,sc_charleston,45019,45019,18
VA,Virginia Beach,Virginia,va_virginia beach,51810,51810,18
AL,Lauderdale,Alabama,al_lauderdale,1077,1077,17
AL,Lee,Alabama,al_lee,1081,1081,17
AL,Walker,Alabama,al_walker,1127,1127,17
AR,Faulkner,Arkansas,ar_faulkner,5045,5045,17
GA,Houston,Georgia,ga_houston,13153,13153,17
IL,Grundy,Illinois,il_grundy,17063,17063,17
IL,Macoupin,Illinois,il_macoupin,17117,17117,17
IL,McDonough,Illinois,il_mcdonough,17109,17109,17
IN,Lawrence,Indiana,in_lawrence,18093,18093,17
MN,Washington,Minnesota,mn_washington,27163,27163,17
MS,Clarke,Mississippi,ms_clarke,28023,28023,17
MS,Humphreys,Mississippi,ms_humphreys,28053,28053,17
MS,Neshoba,Mississippi,ms_neshoba,28099,28099,17
OH,Stark,Ohio,oh_stark,39151,39151,17
TN,Dyer,Tennessee,tn_dyer,47045,47045,17
TX,McLennan,Texas,tx_mclennan,48309,48309,17
UT,Utah,Utah,ut_utah,49049,49049,17
WI,Grant,Wisconsin,wi_grant,55043,55043,17
AL,Limestone,Alabama,al_limestone,1083,1083,16
AL,Talladega,Alabama,al_talladega,1121,1121,16
AR,Desha,Arkansas,ar_desha,5041,5041,16
IL,Boone,Illinois,il_boone,17007,17007,16
IL,Iroquois,Illinois,il_iroquois,17075,17075,16
IN,Fayette,Indiana,in_fayette,18041,18041,16
IN,Fulton,Indiana,in_fulton,18049,18049,16
IN,Marshall,Indiana,in_marshall,18099,18099,16
KY,Graves,Kentucky,ky_graves,21083,21083,16
KY,Hopkins,Kentucky,ky_hopkins,21107,21107,16
LA,Lincoln,Louisiana,la_lincoln,22061,22061,16
MS,Chickasaw,Mississippi,ms_chickasaw,28017,28017,16
MS,Jackson,Mississippi,ms_jackson,28059,28059,16
OH,Licking,Ohio,oh_licking,39089,39089,16
OH,Marion,Ohio,oh_marion,39101,39101,16
TN,Rutherford,Tennessee,tn_rutherford,47149,47149,16
WA,Kitsap,Washington,wa_kitsap,53035,53035,16
AR,Monroe,Arkansas,ar_monroe,5095,5095,15
AR,Union,Arkansas,ar_union,5139,5139,15
CA,Sacramento,California,ca_sacramento,6067,6067,15
CO,Adams,Colorado,co_adams,8001,8001,15
GA,Chatham,Georgia,ga_chatham,13051,13051,15
GA,Floyd,Georgia,ga_floyd,13115,13115,15
IN,Boone,Indiana,in_boone,18011,18011,15
IN,Jennings,Indiana,in_jennings,18079,18079,15
IN,Starke,Indiana,in_starke,18149,18149,15
KY,Henderson,Kentucky,ky_henderson,21101,21101,15
LA,Bossier,Louisiana,la_bossier,22015,22015,15
LA,St. Bernard,Louisiana,la_st. bernard,22087,22087,15
TN,Carroll,Tennessee,tn_carroll,47017,47017,15
TN,McNairy,Tennessee,tn_mcnairy,47109,47109,15
TN,Sevier,Tennessee,tn_sevier,47155,47155,15
TX,Brazoria,Texas,tx_brazoria,48039,48039,15
TX,Brazos,Texas,tx_brazos,48041,48041,15
TX,Nueces,Texas,tx_nueces,48355,48355,15
WI,Adams,Wisconsin,wi_adams,55001,55001,15
WI,Shawano,Wisconsin,wi_shawano,55115,55115,15
AR,Benton,Arkansas,ar_benton,5007,5007,14
FL,Brevard,Florida,fl_brevard,12009,12009,14
FL,Leon,Florida,fl_leon,12073,12073,14
GA,Dougherty,Georgia,ga_dougherty,13095,13095,14
IL,Adams,Illinois,il_adams,17001,17001,14
IL,Shelby,Illinois,il_shelby,17173,17173,14
IN,Clay,Indiana,in_clay,18021,18021,14
IN,Morgan,Indiana,in_morgan,18109,18109,14
MD,Prince George's,Maryland,md_prince george's,24033,24033,14
MN,St. Louis,Minnesota,mn_st. louis,27137,27137,14
MS,Calhoun,Mississippi,ms_calhoun,28013,28013,14
MS,Jasper,Mississippi,ms_jasper,28061,28061,14
MT,Cascade,Montana,mt_cascade,30013,30013,14
NE,Lancaster,Nebraska,ne_lancaster,31109,31109,14
NV,Washoe,Nevada,nv_washoe,32031,32031,14
NY,Erie,New York,ny_erie,36029,36029,14
NY,Nassau,New York,ny_nassau,36059,36059,14
OH,Allen,Ohio,oh_allen,39003,39003,14
OH,Logan,Ohio,oh_logan,39091,39091,14
TN,Gibson,Tennessee,tn_gibson,47053,47053,14
TN,Obion,Tennessee,tn_obion,47131,47131,14
WI,Oconto,Wisconsin,wi_oconto,55083,55083,14
WV,Logan,West Virginia,wv_logan,54045,54045,14
AR,Baxter,Arkansas,ar_baxter,5005,5005,13
AR,Lonoke,Arkansas,ar_lonoke,5085,5085,13
AZ,Yuma,Arizona,az_yuma,4027,4027,13
FL,Marion,Florida,fl_marion,12083,12083,13
FL,Okaloosa,Florida,fl_okaloosa,12091,12091,13
IN,Clinton,Indiana,in_clinton,18023,18023,13
IN,Vermillion,Indiana,in_vermillion,18165,18165,13
KY,Bullitt,Kentucky,ky_bullitt,21029,21029,13
LA,Orleans,Louisiana,la_orleans,22071,22071,13
MI,Cass,Michigan,mi_cass,26027,26027,13
MI,St. Joseph,Michigan,mi_st. joseph,26149,26149,13
MO,Cole,Missouri,mo_cole,29051,29051,13
MO,St. Charles,Missouri,mo_st. charles,29183,29183,13
MO,St. Louis City,Missouri,mo_st. louis city,29510,29510,13
MS,Leake,Mississippi,ms_leake,28079,28079,13
MT,Yellowstone,Montana,mt_yellowstone,30111,30111,13
NV,Carson City,Nevada,nv_carson city,32510,32510,13
OH,Wood,Ohio,oh_wood,39173,39173,13
PA,Washington,Pennsylvania,pa_washington,42125,42125,13
SC,Greenville,South Carolina,sc_greenville,45045,45045,13
SC,Richland,South Carolina,sc_richland,45079,45079,13
TX,Coryell,Texas,tx_coryell,48099,48099,13
TX,Jefferson,Texas,tx_jefferson,48245,48245,13
AL,Coffee,Alabama,al_coffee,1031,1031,12
AR,Ashley,Arkansas,ar_ashley,5003,5003,12
AR,Chicot,Arkansas,ar_chicot,5017,5017,12
IL,Bureau,Illinois,il_bureau,17011,17011,12
IN,Miami,Indiana,in_miami,18103,18103,12
KY,Johnson,Kentucky,ky_johnson,21115,21115,12
OH,Erie,Ohio,oh_erie,39043,39043,12
OH,Lawrence,Ohio,oh_lawrence,39087,39087,12
TN,McMinn,Tennessee,tn_mcminn,47107,47107,12
TN,Monroe,Tennessee,tn_monroe,47123,47123,12
TN,Washington,Tennessee,tn_washington,47179,47179,12
TX,Bowie,Texas,tx_bowie,48037,48037,12
TX,Collin,Texas,tx_collin,48085,48085,12
TX,Webb,Texas,tx_webb,48479,48479,12
WI,Barron,Wisconsin,wi_barron,55005,55005,12
WI,Columbia,Wisconsin,wi_columbia,55021,55021,12
WV,Raleigh,West Virginia,wv_raleigh,54081,54081,12
AL,DeKalb,Alabama,al_dekalb,1049,1049,11
AL,Jackson,Alabama,al_jackson,1071,1071,11
AL,Sumter,Alabama,al_sumter,1119,1119,11
FL,Volusia,Florida,fl_volusia,12127,12127,11
GA,Spalding,Georgia,ga_spalding,13255,13255,11
GA,Troup,Georgia,ga_troup,13285,13285,11
IL,De Witt,Illinois,il_de witt,17039,17039,11
IL,Effingham,Illinois,il_effingham,17049,17049,11
IL,Livingston,Illinois,il_livingston,17105,17105,11
IL,Pulaski,Illinois,il_pulaski,17153,17153,11
IL,Stark,Illinois,il_stark,17175,17175,11
IN,Carroll,Indiana,in_carroll,18015,18015,11
IN,Floyd,Indiana,in_floyd,18043,18043,11
IN,Huntington,Indiana,in_huntington,18069,18069,11
IN,Jackson,Indiana,in_jackson,18071,18071,11
KY,Laurel,Kentucky,ky_laurel,21125,21125,11
KY,Pike,Kentucky,ky_pike,21195,21195,11
KY,Warren,Kentucky,ky_warren,21227,21227,11
KY,Webster,Kentucky,ky_webster,21233,21233,11
LA,Calcasieu,Louisiana,la_calcasieu,22019,22019,11
MO,Butler,Missouri,mo_butler,29023,29023,11
MS,Claiborne,Mississippi,ms_claiborne,28021,28021,11
NC,Union,North Carolina,nc_union,37179,37179,11
ND,Ward,North Dakota,nd_ward,38101,38101,11
OH,Scioto,Ohio,oh_scioto,39145,39145,11
OK,Mayes,Oklahoma,ok_mayes,40097,40097,11
SC,Darlington,South Carolina,sc_darlington,45031,45031,11
TN,Anderson,Tennessee,tn_anderson,47001,47001,11
TN,Tipton,Tennessee,tn_tipton,47167,47167,11
TN,Wilson,Tennessee,tn_wilson,47189,47189,11
TX,Denton,Texas,tx_denton,48121,48121,11
TX,Smith,Texas,tx_smith,48423,48423,11
VA,Chesterfield,Virginia,va_chesterfield,51041,51041,11
WI,Oneida,Wisconsin,wi_oneida,55085,55085,11
WI,Waushara,Wisconsin,wi_waushara,55137,55137,11
WV,Wood,West Virginia,wv_wood,54107,54107,11
AL,Houston,Alabama,al_houston,1069,1069,10
AR,Lee,Arkansas,ar_lee,5077,5077,10
CA,Contra Costa,California,ca_contra costa,6013,6013,10
CA,Solano,California,ca_solano,6095,6095,10
CO,Boulder,Colorado,co_boulder,8013,8013,10
CO,Larimer,Colorado,co_larimer,8069,8069,10
CO,Pueblo,Colorado,co_pueblo,8101,8101,10
FL,Lake,Florida,fl_lake,12069,12069,10
GA,Hall,Georgia,ga_hall,13139,13139,10
IA,Clinton,Iowa,ia_clinton,19045,19045,10
IN,Hancock,Indiana,in_hancock,18059,18059,10
IN,Sullivan,Indiana,in_sullivan,18153,18153,10
KY,Crittenden,Kentucky,ky_crittenden,21055,21055,10
KY,Estill,Kentucky,ky_estill,21065,21065,10
KY,Harlan,Kentucky,ky_harlan,21095,21095,10
KY,Russell,Kentucky,ky_russell,21207,21207,10
KY,Taylor,Kentucky,ky_taylor,21217,21217,10
KY,Woodford,Kentucky,ky_woodford,21239,21239,10
LA,Lafayette,Louisiana,la_lafayette,22055,22055,10
LA,Madison,Louisiana,la_madison,22065,22065,10
LA,Morehouse,Louisiana,la_morehouse,22067,22067,10
LA,St. Martin,Louisiana,la_st. martin,22099,22099,10
MI,Allegan,Michigan,mi_allegan,26005,26005,10
MS,Pearl River,Mississippi,ms_pearl river,28109,28109,10
MS,Yalobusha,Mississippi,ms_yalobusha,28161,28161,10
